 added a,menambahkan a
Members,Anggota
Members of this team will be able to see the tickets assigned to all the teams,Anggota tim ini akan dapat melihat tiket yang ditetapkan untuk semua tim
Members of this team will see the tickets assigned to this team only,Anggota tim ini hanya akan melihat tiket yang diberikan kepada tim ini
Mention,Menyebutkan
Merge,Menggabungkan
Merge Ticket,Gabungkan Tiket
Merged With,Digabung Dengan
Message,Pesan
Misc,Lain-lain
Monday,Senin
Monthly,Bulanan
Move To,Pindah ke
My Dashboard,Dasbor saya
My Settings,Pengaturan Saya
My Team,Tim saya
My Tickets,Tiket Saya
Name,Nama
Name Weight,Nama Berat
"Name shown on the customer portal<br> (e.g., Replied → Awaiting Response).","Nama ditampilkan di portal pelanggan<br> (misalnya, Dibalas → Menunggu Tanggapan)."
Navigation,Navigasi
Negative first,Negatif dulu
New,Baru
New Article,Artikel Baru
New Assignment Rule,Aturan Penugasan Baru
New Business Holiday,Liburan Bisnis Baru
New Call Log,Log Panggilan Baru
New Comment,Komentar Baru
New Email,Surel Baru
New Field Dependency,Ketergantungan Bidang Baru
New Holiday List Name,Nama Daftar Hari Libur Baru
New Password,Kata sandi Baru
New SLA Policy,Kebijakan SLA Baru
New SLA Policy Name,Nama Kebijakan SLA Baru
New Saved Reply,Balasan Tersimpan Baru
New Subject,Subjek Baru
New Team,Tim Baru
New Ticket,Tiket Baru
New and old title cannot be same,Judul baru dan lama tidak boleh sama
New team,Tim baru
New title is required,Judul baru diperlukan
New users will have to be manually registered by system managers.,Pengguna baru harus didaftarkan secara manual oleh manajer sistem.
Next ticket,Tiket berikutnya
No Answer,Tidak Ada Jawaban
No Data Found,Tidak Ada Data yang Ditemukan
No Holiday list found,Tidak ada daftar hari libur yang ditemukan
No SLA found,Tidak ada SLA yang ditemukan
No Team,Tidak ada Tim
No additional comments,Tidak ada komentar tambahan
No agent found,Tidak ada agen yang ditemukan
No articles found for the applied filters. Try adjusting or clearing your filters.,Tidak ada artikel yang ditemukan untuk filter yang diterapkan. Coba sesuaikan atau hapus filter Anda.
No articles found in the following category.,Tidak ada artikel ditemukan dalam kategori berikut.
No assignment rule found,Tidak ditemukan aturan penugasan
No average metrics,Tidak ada metrik rata-rata
No categories available,Tidak ada kategori yang tersedia
No changes made,Tidak ada perubahan yang dilakukan
No changes to save,Tidak ada perubahan untuk disimpan
No customers found for the applied filters. Try adjusting or clearing your filters.,Tidak ada pelanggan yang ditemukan untuk filter yang diterapkan. Coba sesuaikan atau hapus filter Anda.
No feedback,Tidak ada umpan balik
No members found,Tidak ada anggota yang ditemukan
No new notifications,Tidak ada notifikasi baru
No new tickets assigned to you in the last 24 hours,Tidak ada tiket baru yang diberikan kepada Anda dalam 24 jam terakhir
No next ticket,Tidak ada tiket berikutnya
No pending tickets,Tidak ada tiket yang tertunda
No previous ticket,Tidak ada tiket sebelumnya
No reason,Tidak ada alasan
No recently assigned tickets,Tidak ada tiket yang ditetapkan baru-baru ini
No results found,Hasil tidak ditemukan
No saved replies found,Tidak ditemukan balasan tersimpan
No team found,Tidak ada tim yang ditemukan
No tickets found,Tidak ada tiket yang ditemukan
No tickets found for the applied filters. Try adjusting or clearing your filters.,Tidak ada tiket yang ditemukan untuk filter yang diterapkan. Coba sesuaikan atau hapus filter Anda.
No tickets found for this view. Try adjusting your filters or creating a new view.,Tidak ada tiket yang ditemukan untuk tampilan ini. Coba sesuaikan filter Anda atau buat tampilan baru.
No tickets found to preview.,Tidak ada tiket yang ditemukan untuk dipratinjau.
Not Allowed,Tidak Diizinkan
Not Assigned,Tidak Ditugaskan
Not Saved,Tidak Disimpan
Not Specified,Tidak ditentukan
Notification Settings,Pengaturan pemberitahuan
Notifications,Pemberitahuan
Old Condition,Kondisi Lama
Old Conditions,Kondisi Lama
On Hold Since,Ditahan Sejak
On click (Javascript),Saat diklik (Javascript)
On ticket status,Tentang status tiket
Only the 'color' and 'order' fields of the 'Closed' status can be modified.,Hanya kolom 'warna' dan 'pesanan' pada status 'Tertutup' yang dapat diubah.
Open,Buka
Open command palette,Buka palet perintah
Open comment box,Buka kotak komentar
Open help,Buka bantuan
Open in Desk,Buka di Meja
Open reply box,Buka kotak balasan
Open settings,Buka pengaturan
Opening Date,Tanggal Pembukaan
Opening Time,Waktu Pembukaan
Orange,Oranye
Order,Memesan
Order By,Dipesan oleh
Organization Dashboard,Dasbor Organisasi
Other,Lainnya
Outbound Call,Panggilan Keluar
Outgoing,Keluar
Outside working hours notice,Pemberitahuan di luar jam kerja
Owner,Pemilik
Page not found,Halaman tidak ditemukan
Parent field,Bidang induk
"Parent field, child field, and parent-child mapping are required.","Bidang induk, bidang anak, dan pemetaan induk-anak wajib diisi."
Password,Kata sandi
Password must be at least 8 characters,Kata sandi minimal harus 8 karakter
"Password must contain lowercase, uppercase, number, and symbol","Kata sandi harus mengandung huruf kecil, huruf besar, angka, dan simbol"
Password updated successfully.,Kata sandi berhasil diperbarui.
Passwords do not match,Kata sandi tidak cocok
Passwords match,Kata sandi cocok
Paused,Dijeda
Pending,Tertunda
Pending Invites,Undangan Tertunda
Pending Tickets,Tiket Tertunda
Percentage of total tickets by channel,Persentase total tiket berdasarkan saluran
Percentage of total tickets by priority,Persentase total tiket berdasarkan prioritas
Percentage of total tickets by team,Persentase total tiket menurut tim
Percentage of total tickets by type,Persentase total tiket berdasarkan jenis
Period,Periode
Personal,Pribadi
Personal mobile no,Nomor ponsel pribadi
Phone,Telepon
Phone Nos,Nomor Telepon
Pick an option,Pilih sebuah opsi
Pin View,Sematkan Tampilan
Pink,Berwarna merah muda
Pinned,Disematkan
Placeholder,Penampung
Please add this priority in the <a href='/app/hd-service-level-agreement'>required SLA documents</a>,Harap tambahkan prioritas ini di <a href='/app/hd-service-level-agreement'>dokumen SLA yang diperlukan</a>
Please configure your Exotel settings correctly,Silakan konfigurasikan pengaturan Exotel Anda dengan benar
Please configure your Twilio settings correctly,Silakan konfigurasikan pengaturan Twilio Anda dengan benar
Please enter a subject to continue,Silakan masukkan subjek untuk melanjutkan
Please enter a valid phone number,Silakan masukkan nomor telepon yang valid
Please enter first name at least,Harap masukkan setidaknya nama depan
Please fill all required fields,Silakan isi semua bidang yang wajib diisi
Please fill all required fields for Exotel,Silakan isi semua kolom yang wajib diisi untuk Exotel
Please fill all required fields for Twilio,Silakan isi semua bidang yang wajib diisi untuk Twilio
Please fill all the required fields,Silakan isi semua bidang yang diperlukan
Please fix the errors in the form,Harap perbaiki kesalahan pada formulir
Please provide saved_reply_id,Harap berikan disimpan_reply_id
Please select weekly off day,Silakan pilih dari hari mingguan
Policy name,Nama kebijakan
Positive first,Positif dulu
Post Description Key,Kunci Deskripsi Posting
Post Route Key List,Daftar Kunci Rute Pos
Post Route String,String Rute Pos
Post Title Key,Kunci Judul Posting
Prefer knowledge base,Lebih memilih basis pengetahuan
Presets,Preset
Press enter to search,Tekan enter untuk mencari
Preview,Pratayang
Previous ticket,Tiket sebelumnya
Priorities,Prioritas
Priority,Prioritas
Priority {0} has been repeated.,Prioritas {0} telah diulang.
Private Views,Tampilan Pribadi
Product Experts,Pakar Produk
Product experts,Pakar produk
Profile,Profil
Profile updated successfully.,Profil berhasil diperbarui.
Public,Publik
Public Views,Tampilan Publik
Publish,Menerbitkan
Published,Diterbitkan
Published On,Diterbitkan Pada
Published articles must have content.,Artikel yang dipublikasikan harus memiliki konten.
Pull Emails,Tarik Email
"Pulling emails, this may take a few minutes.","Menarik email, ini mungkin memerlukan waktu beberapa menit."
Quarterly,Triwulan
Query Options,Opsi Kueri
Query Route String,String Rute Kueri
Queued,Diantrikan
Raised By (Email),Dibesarkan Oleh (Email)
Range,Jarak
Rate Your Support Experience,Nilai Pengalaman Dukungan Anda
Rate this ticket,Nilai tiket ini
Rated Tickets,Tiket yang Dinilai
Rating,Peringkat
Rating must be between 0.2 and 1.0,"Peringkat harus antara 0,2 dan 1,0"
Reaction,Reaksi
Reactions,Reaksi
Read,Membaca
Reason,Alasan
Recent,Terkini
Recent Tickets,Tiket Terbaru
Record Calls,Rekam Panggilan
Recurring Holidays,Liburan Berulang
Recurring holidays,Liburan yang berulang
Red,Merah
Reference,Referensi
Reference Ticket,Tiket Referensi
References,Referensi
Refresh,Segarkan
Refresh Apps,Segarkan Aplikasi
Regenerate Search Index,Regenerasi Indeks Pencarian
Remove,Menghapus
Remove Logo,Hapus Logo
Remove image,Hapus gambar
Remove photo,Hapus foto
Rename,Ubah nama
Rename (Ctrl + ⏎),Ganti nama (Ctrl + ⏎)
Rename (⌘ + ⏎),Ganti nama (⌘ + ⏎)
Rename team,Ganti nama tim
Replied,Jawab
Reply From Agent,Balasan Dari Agen
Reply from agent,Balasan dari agen
Reply from contact,Balasan dari kontak
Reply on a ticket,Membalas tiket
Request Key,Kunci Permintaan
Required,Diperlukan
Reset,ulang
Reset Content,Setel Ulang Konten
Resolution,Resolusi
Resolution By,Resolusi Oleh
Resolution Date,Tanggal Resolusi
Resolution Details,Detail Resolusi
Resolution Due,Resolusi Jatuh Tempo
Resolution Time,Waktu Resolusi
Resolved,Terselesaikan
Response,Tanggapan
Response By,Tanggapan Oleh
Response Options,Opsi Respons
Response Result Key Path,Jalur Kunci Hasil Respon
Response Time for {0} priority in row {1} can't be greater than Resolution Time.,Waktu Respons untuk {0} prioritas di baris {1} tidak boleh lebih dari Waktu Resolusi.
Response and Resolution,Respon dan Resolusi
Response is required,Diperlukan respons
Restrict agent assignment to selected Team,Batasi penugasan agen ke Tim yang dipilih
Restrict agent assignment to selected team,Batasi penugasan agen ke tim yang dipilih
Restrict tickets by Team,Batasi tiket berdasarkan Tim
Restrict tickets by team,Batasi tiket berdasarkan tim
Restrict tickets to be viewed and managed by team members only.,Batasi tiket untuk dilihat dan dikelola oleh anggota tim saja.
Restrict visibility to these teams,Batasi visibilitas ke tim-tim ini
Result Preview Field,Bidang Pratinjau Hasil
Result Route Field,Bidang Rute Hasil
Result Title Field,Bidang Judul Hasil
Reviews,Ulasan
Ringing,Berdering
Role,Peran
Route Name,Nama Route
Rows,Baris
SLA,SLA
SLA Alerts,Peringatan SLA
SLA Creation,Pembuatan SLA
SLA Mapping,Pemetaan SLA
SLA Status,Status SLA
SLA policy created successfully.,Kebijakan SLA berhasil dibuat.
SLA policy deleted successfully.,Kebijakan SLA berhasil dihapus.
SLA policy duplicated successfully.,Kebijakan SLA berhasil diduplikasi.
SLA policy status updated successfully.,Status kebijakan SLA berhasil diperbarui.
SLA policy updated successfully.,Kebijakan SLA berhasil diperbarui.
SLA set as default cannot be disabled,SLA yang ditetapkan sebagai default tidak dapat dinonaktifkan
SLA set as default cannot be disabled.,SLA yang ditetapkan sebagai default tidak dapat dinonaktifkan.
SLAs align your team and customers with defined timelines for a reliable experience. Learn more about SLA ,SLA menyelaraskan tim dan pelanggan Anda dengan jadwal yang ditentukan untuk pengalaman yang andal. Pelajari lebih lanjut tentang SLA
Saturday,Sabtu
Save,Simpan
Save Changes,Simpan Perubahan
Saved Replies,Balasan Tersimpan
Saved Views,Tampilan Tersimpan
Saved reply deleted successfully.,Balasan tersimpan berhasil dihapus.
Saved reply duplicated successfully.,Balasan tersimpan berhasil diduplikasi.
Saved reply saved successfully.,Balasan tersimpan berhasil disimpan.
Saved reply updated successfully.,Balasan tersimpan berhasil diperbarui.
Schedule name,Nama jadwal
Scope,Cakupan
Script,Naskah
Search,Pencarian
Search Index Regenerated,Indeks Pencarian Diregenerasi
Search Score,Skor Pencarian
Search Term Param Name,Nama Param Istilah Pencarian
Search index does not exist. Please build the index first.,Indeks pencarian tidak ada. Silakan buat indeksnya terlebih dahulu.
Search index not available. Please contact administrator.,Indeks pencarian tidak tersedia. Silakan hubungi administrator.
Search query must be at least 2 characters,Kueri penelusuran harus terdiri dari minimal 2 karakter
Search ticket,Cari tiket
"Search tickets, comments, and communications...","Cari tiket, komentar, dan komunikasi..."
"Search tickets, emails, comments, or #234 to navigate to ticket","Cari tiket, email, komentar, atau #234 untuk menavigasi ke tiket"
Searched for:,Dicari:
Searching...,Mencari...
Select,Pilih
Select Category,Pilih Kategori
Select Range,Pilih Rentang
Select a Default Priority.,Pilih Prioritas Default.
Select a rating,Pilih peringkat
Select teams,Pilih tim
Select ticket to preview,Pilih tiket untuk dipratinjau
Select what type all tickets get by default.,Pilih jenis apa yang didapat semua tiket secara default.
Select your weekly off day,Pilih hari libur mingguan Anda
Send,Kirim
Send Invites,Kirim Undangan
Send feedback when,Kirim masukan kapan
Sent to all of the agents assigned to the ticket whenever a contact has replied.,Dikirim ke semua agen yang ditugaskan pada tiket setiap kali ada kontak yang membalas.
Sent to all of the recipients associated with the ticket whenever an agent has replied.,Dikirim ke semua penerima yang terkait dengan tiket setiap kali agen membalas.
Sent to the user right after creating an email ticket.,Dikirim ke pengguna tepat setelah membuat tiket email.
Sent to the user who has raised the ticket after the ticket is closed or resolved.,Dikirim ke pengguna yang telah mengangkat tiket setelah tiket ditutup atau diselesaikan.
Service Level Agreements (SLAs),Perjanjian Tingkat Layanan (SLA)
Service Level Name,Nama Tingkat Layanan
Service not supported,Layanan tidak didukung
Set Phone Number,Tetapkan Nomor Telepon
Set as default SLA,Tetapkan sebagai SLA default
"Set the default status assigned when a ticket is created, and the status to apply when a ticket is reopened. If not specified, the default status from HD Settings will be used.","Tetapkan status default yang ditetapkan saat tiket dibuat, dan status yang akan diterapkan saat tiket dibuka kembali. Jika tidak ditentukan, status default dari Pengaturan HD akan digunakan."
"Set working days, hours, and holidays by selecting a predefined schedule or creating a new one.","Tetapkan hari kerja, jam kerja, dan hari libur dengan memilih jadwal yang telah ditentukan atau membuat jadwal baru."
"Set your team’s working days, hours, and holidays using a template or custom schedule.","Tetapkan hari kerja, jam kerja, dan hari libur tim Anda menggunakan templat atau jadwal khusus."
Settings,Pengaturan
Settings updated,Pengaturan diperbarui
Settings updated successfully.,Pengaturan berhasil diperbarui.
Setup,Pengaturan
Setup Email,Atur Email
Setup SLA,Siapkan SLA
Share,Membagikan
Share Feedback,Bagikan Masukan
Share feedback,Bagikan masukan
Shortcuts,Jalan pintas
Show end users a different view,Tampilkan tampilan berbeda kepada pengguna akhir
Show in sidebar,Tampilkan di bilah sisi
Show keyboard shortcuts,Tampilkan pintasan keyboard
"Simple Python Expression, Example: doc.status == 'Open' and doc.ticket_type == 'Bug'","Ekspresi Python Sederhana, Contoh: doc.status == 'Open' and doc.ticket_type == 'Bug'"
Skip e-mail workflow,Lewati alur kerja email
Skip email workflow,Lewati alur kerja email
Some error occurred while renaming assignment rule,Beberapa kesalahan terjadi saat mengganti nama aturan penetapan
Some error occurred while renaming holiday list,Terjadi kesalahan saat mengganti nama daftar hari libur
Some error occurred while renaming saved reply,Terjadi kesalahan saat mengganti nama balasan yang disimpan
Some error occurred while updating assignment rule,Beberapa kesalahan terjadi saat memperbarui aturan penetapan
Some error occurred while updating holiday list,Terjadi kesalahan saat memperbarui daftar hari libur
Source DocType,Sumber DocType
Source Name,Nama Sumber
Source Type,Jenis Sumber
Source and target category cannot be same,Kategori sumber dan target tidak boleh sama
Source and target ticket cannot be same,Tiket sumber dan target tidak boleh sama
Source and target tickets which are to be merged cannot be the same.,Sumber dan target tiket yang akan digabungkan tidak boleh sama.
Source ticket does not exist,Tiket sumber tidak ada
Split and Merge,Pisahkan dan Gabungkan
"Standard Form Scripts can't be modified, duplicate the script instead.","Skrip Formulir Standar tidak dapat diubah, duplikat skripnya saja."
Standard Views cannot be deleted.,Tampilan Standar tidak dapat dihapus.
Start Date,Tanggal Mulai
Start Time,Waktu Mulai
Status,Status
Status ,Status 
Status Category,Kategori Status
Status Details,Detail Status
Status is required,Status wajib diisi
"Status of the ticket, when a customer replies on the ticket.","Status tiket, saat pelanggan membalas tiket."
"Status of the ticket, when it is created in the system.","Status tiket, saat dibuat di sistem."
Subject,Perihal
Subject Weight,Berat Subjek
Subject is required,Subjek diperlukan
Submit,Kirim
Summary,Ringkasan
Sunday,Minggu
Support,Mendukung
Support Hour Distribution,Distribusi Jam Dukungan
Support Policy,Kebijakan Dukungan
Support Team,Tim Support
Synonyms,Sinonim
System,Sistem
System Manager,Manajer Sistem
System types can not be deleted,Tipe sistem tidak dapat dihapus
Tampered Access,Akses yang Dirusak
Target ticket does not exist,Tiket target tidak ada
Teal,teal
Team,Tim
Team Name,Nama Tim
Team Restrictions,Batasan Tim
Team created,Tim dibuat
Team created successfully.,Tim berhasil dibuat.
Team deleted successfully.,Tim berhasil dihapus.
Team name,Nama tim
Team renamed successfully.,Tim berhasil diganti namanya.
Teams,Tim
Telephony,Telepon
Telephony settings updated successfully.,Pengaturan telepon berhasil diperbarui.
Tell us more,Beritahu kami lebih lanjut
Template,Templat
Template Name,Nama Templat
The 'Closed' status cannot be renamed.,Status 'Tutup' tidak dapat diubah namanya.
"The feedback dialog will be shown, when a user tries to close a ticket from the customer portal.","Dialog umpan balik akan ditampilkan, ketika pengguna mencoba menutup tiket dari portal pelanggan."
The holiday on {0} is not between From Date and To Date,Liburan di {0} bukan antara Dari Tanggal dan To Date
The number of days must be 1 or more,Jumlah hari harus 1 atau lebih
The status for sending feedback must be of <u>Resolved</u> category.,Status pengiriman masukan harus berkategori <u>Terselesaikan</u>.
The ticket status will automatically change whenever the agent respond to a ticket.,Status tiket akan otomatis berubah setiap kali agen merespons tiket.
There are no categories published at the moment.,Tidak ada kategori yang dipublikasikan saat ini.
This action is irreversible.,Tindakan ini tidak dapat diubah.
"This date is calculated based on configured SLAs, working hours, and holidays.","Tanggal ini dihitung berdasarkan SLA yang dikonfigurasi, jam kerja, dan hari libur."
This doctype will be deprecated in the future,Doctype ini tidak akan digunakan lagi di masa mendatang
"This field is used to skip email-related workflows for tickets. If this field is checked, no emails will be sent related to tickets, such as new ticket creation, status updates, or notifications.","Bidang ini digunakan untuk melewati alur kerja terkait email untuk tiket. Jika bidang ini dicentang, tidak ada email yang akan dikirim terkait tiket, seperti pembuatan tiket baru, pembaruan status, atau pemberitahuan."
This method is only meant for developer mode,Metode ini hanya ditujukan untuk mode pengembang
"This view is public, and will be removed for all users.",Tampilan ini bersifat publik dan akan dihapus untuk semua pengguna.
This view is public. Changes made will be visible to everyone.,Pandangan ini bersifat publik. Perubahan yang dilakukan akan terlihat oleh semua orang.
This will reset the content to the default message.,Ini akan mengatur ulang konten ke pesan default.
Thursday,Kamis
Ticket,Tiket
Ticket Analytics,Analisis Tiket
Ticket Configuration,Konfigurasi Tiket
Ticket Management,Manajemen Tiket
Ticket Merged,Tiket Digabung
Ticket Not Found,Tiket Tidak Ditemukan
Ticket Priority,Prioritas Tiket
Ticket Reopen status,Status Pembukaan Kembali Tiket
Ticket Routing,Perutean Tiket
Ticket Settings,Pengaturan Tiket
Ticket Split From,Tiket Dibagi Dari
Ticket Summary,Ringkasan Tiket
Ticket Trend,Tren Tiket
Ticket Type,Jenis Tiket
Ticket closed successfully.,Tiket berhasil ditutup.
Ticket deleted successfully.,Tiket berhasil dihapus.
Ticket does not exist.,Tiket tidak ada.
Ticket must be Open or Paused.,Tiket harus Terbuka atau Dijeda.
Ticket must be resolved with a feedback,Tiket harus diselesaikan dengan umpan balik
Ticket must not already be merged.,Tiket belum boleh digabungkan.
Ticket not found,Tiket tidak ditemukan
Ticket not found for the provided key.,Tiket tidak ditemukan untuk kunci yang disediakan.
Ticket not found.,Tiket tidak ditemukan.
Ticket raised outside working hours,Tiket dinaikkan di luar jam kerja
Ticket split successfully.,Pembagian tiket berhasil.
Ticket status,Status tiket
Ticket type,Jenis tiket
Ticket updated succesfully.,Tiket berhasil diperbarui.
Ticket-Search Analysis,Analisis Pencarian Tiket
Tickets,Tiket
Tickets approaching or breached SLA,Tiket mendekati atau melanggar SLA
Tickets assigned to you in the last 24 hours,Tiket diberikan kepada Anda dalam 24 jam terakhir
Tickets by Channel,Tiket berdasarkan Saluran
Tickets by Priority,Tiket berdasarkan Prioritas
Tickets by Team,Tiket berdasarkan Tim
Tickets by Type,Tiket berdasarkan Jenis
Tickets can only be assigned to agents,Tiket hanya dapat diberikan kepada agen
Tickets must meet the following conditions:,Tiket harus memenuhi ketentuan berikut:
Tickets that are awaiting your response,Tiket yang menunggu tanggapan Anda
Timezone,Zona waktu
Timezone updated successfully.,Zona waktu berhasil diperbarui.
Title,Judul
Title Slug,Judul Siput
Title is required,Judul diperlukan
To,Untuk
To Date,Untuk Tanggal
To Date cannot be before From Date,Sampai saat ini tidak dapat sebelumnya dari tanggal
To date,Hingga saat ini
To is required,Diperlukan
"To know more about setting up email accounts, click","Untuk mengetahui lebih lanjut tentang pengaturan akun email, klik"
Today,Hari ini
Top Result,Hasil Teratas
Total,Total
Total Hold Time,Total Waktu Penahanan
Total Holidays,Jumlah Hari Libur
Total Ticket,Jumlah Tiket
Total number of tickets created,Jumlah total tiket yang dibuat
Total tickets by priority,Total tiket berdasarkan prioritas
Total tickets by team,Total tiket menurut tim
Total tickets by type,Total tiket berdasarkan jenis
Tuesday,Selasa
Twilio,Twilio
Type,Jenis
Type a message,Ketikkan pesan
Type is required,Jenis diperlukan
URL/Method,URL/Metode
Unable to send email. Please setup default outgoing email account.,Tidak dapat mengirim email. Silakan atur akun email keluar default.
Unassignment Condition,Kondisi Pembatalan Penugasan
Unauthorized Access,Akses Tidak Sah
Unauthorized access.,Akses tidak sah.
Unpin View,Lepas Sematan Tampilan
Unpublish,Batalkan publikasi
Unsaved,Belum disimpan
Unsaved changes,Perubahan yang belum disimpan
Untitled,Tanpa Judul
Update,Perbaruan
Update Account,Perbarui Akun
Update status to,Perbarui status menjadi
Upload,Mengunggah
Upload image,Unggah gambar
Upload photo,Unggah foto
User,Pengguna
User Not found,Pengguna Tidak ditemukan
User Resolution Time,Waktu Resolusi Pengguna
User Signup,Pendaftaran Pengguna
Users,Pengguna
Valid From,Berlaku Mulai
Via Customer Portal,Melalui Portal Pelanggan
View Assignment rule,Lihat aturan Penugasan
View {0},Lihat {0}
Views,Tampilan
Violet,Ungu
Was this article Helpful?,Apakah artikel ini Bermanfaat?
Wednesday,Rabu
Weekly,Mingguan
Weekly Off,Libur Mingguan
Word,Kata
Work Schedule and Holidays,Jadwal Kerja dan Hari Libur
Workday,Hari kerja
Workday added successfully.,Hari kerja berhasil ditambahkan.
Workday updated successfully.,Hari kerja berhasil diperbarui.
Workday {0} has been repeated.,Hari kerja {0} telah diulang.
Workflow,Alur Kerja
Workflow & Knowledge Base Settings,Pengaturan Alur Kerja & Basis Pengetahuan
Working Hours,Jam kerja
Write your article here...,Tulis artikel Anda di sini...
Yearly,Tahunan
Yellow,Kuning
You are not allowed to view this dashboard data.,Anda tidak diperbolehkan melihat data dasbor ini.
You are not permitted to access this resource.,Anda tidak diizinkan mengakses sumber daya ini.
You are not permitted to add a comment,Anda tidak diperbolehkan menambahkan komentar
You are now offline.,Anda sekarang offline.
You are now online.,Anda sekarang online.
You can change the default calling medium from the settings,Anda dapat mengubah media panggilan default dari pengaturan
You cannot disable the default SLA.,Anda tidak dapat menonaktifkan SLA default.
You cannot set more than one Default Priority.,Anda tidak dapat menetapkan lebih dari satu Prioritas Default.
You do not have permission to access Assignment Rules,Anda tidak memiliki izin untuk mengakses Aturan Penugasan
"You don't have access to this ticket, or it no longer exists.","Anda tidak memiliki akses ke tiket ini, atau tiket tersebut sudah tidak ada lagi."
"You don't have permission to view this page, or it no longer exists.","Anda tidak memiliki izin untuk melihat halaman ini, atau halaman ini sudah tidak ada lagi."
You have already provided feedback for this ticket.,Anda telah memberikan masukan untuk tiket ini.
You haven't received any feedback yet,Anda belum menerima masukan apa pun
You must set one SLA as Default. Please check the Default SLA option.,Anda harus menetapkan satu SLA sebagai Default. Silakan centang opsi SLA Default.
Your old conditions will be overwritten. Are you sure you want to save?,Kondisi lama Anda akan ditimpa. Apakah Anda yakin ingin menyimpannya?
Your performance is,Kinerja Anda adalah
assigned you a ticket,memberi Anda tiket
average,rata-rata
back to email event list,kembali ke daftar acara email
created,dibuat
days,hari
deleted,dihapus
emails/ comments,email/komentar
excellent,luar biasa
from this email onwards will be moved to new ticket.,mulai email ini dan seterusnya akan dipindahkan ke tiket baru.
good,Bagus
group_by,kelompokkan_berdasarkan
has made a call,telah melakukan panggilan
has reached out,telah menghubungi
has reopened the ticket,telah membuka kembali tiketnya
here,di sini
here.,Di Sini.
hrs,jam
in,di Dalam
is_merged === 0,is_merged === 0
kanban,kanban
list,daftar
mentioned you in ticket,menyebutmu di tiket
poor,miskin
purple,ungu
stars,bintang
"status_category in ['Open', 'Paused']","status_category di ['Buka', 'Dijeda']"
synonym,sinonim
viewed this,melihat ini
